epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5554.96,0.84148,0.6923,1.11172,0.93079,0.93071,0.95249,0.75463,0.85492,0.52296,1.08083,0.005842,0.005842,0.005842
44,5686.84,0.82685,0.67767,1.1093,0.94817,0.9148,0.94887,0.75195,0.87148,0.52268,1.10758,0.005743,0.005743,0.005743
45,5817.77,0.83832,0.67443,1.10828,0.95182,0.92351,0.94886,0.75088,0.85702,0.51009,1.09361,0.005644,0.005644,0.005644
46,5948.13,0.81517,0.65951,1.09888,0.95192,0.90907,0.95238,0.75377,0.86079,0.51418,1.09394,0.005545,0.005545,0.005545
47,6077.74,0.81407,0.65562,1.09781,0.9543,0.93372,0.95331,0.75977,0.85727,0.49893,1.08893,0.005446,0.005446,0.005446
48,6208.14,0.79884,0.65234,1.09034,0.95908,0.91857,0.95135,0.75326,0.85802,0.50789,1.09911,0.005347,0.005347,0.005347
49,6338.73,0.79711,0.6424,1.08406,0.95202,0.93306,0.9516,0.76266,0.85667,0.50625,1.09605,0.005248,0.005248,0.005248
50,6470.05,0.80737,0.65096,1.08388,0.95284,0.93413,0.9568,0.76879,0.85114,0.4897,1.08662,0.005149,0.005149,0.005149
51,6604.4,0.79127,0.63275,1.07637,0.94831,0.93215,0.9437,0.75595,0.85543,0.51544,1.0906,0.00505,0.00505,0.00505
52,6733.56,0.77835,0.62649,1.07356,0.94905,0.90886,0.94896,0.76031,0.8341,0.5037,1.0724,0.004951,0.004951,0.004951
53,6869.42,0.78322,0.60488,1.07716,0.94829,0.92203,0.9486,0.76558,0.84665,0.51202,1.08402,0.004852,0.004852,0.004852
54,6999.15,0.7794,0.61892,1.07666,0.9433,0.92904,0.95307,0.76569,0.84353,0.48562,1.09238,0.004753,0.004753,0.004753
55,7128.39,0.78351,0.61908,1.07647,0.95286,0.92584,0.95252,0.76221,0.84483,0.48559,1.08526,0.004654,0.004654,0.004654
56,7259.27,0.75778,0.60431,1.05919,0.96072,0.92572,0.95479,0.76498,0.85846,0.47634,1.09832,0.004555,0.004555,0.004555
57,7390.94,0.76584,0.59111,1.06608,0.95728,0.92242,0.95701,0.76867,0.84241,0.48027,1.07149,0.004456,0.004456,0.004456
58,7525.27,0.75929,0.58579,1.06133,0.9588,0.92785,0.95763,0.76435,0.86413,0.47995,1.09432,0.004357,0.004357,0.004357
59,7654.85,0.74967,0.58218,1.056,0.95647,0.92883,0.95522,0.76794,0.84883,0.47397,1.08095,0.004258,0.004258,0.004258
60,7785.14,0.74462,0.56829,1.0548,0.94122,0.91807,0.94845,0.76519,0.83544,0.48671,1.08128,0.004159,0.004159,0.004159
61,7917.92,0.74176,0.56351,1.05413,0.94673,0.93789,0.95468,0.76887,0.83608,0.48357,1.07763,0.00406,0.00406,0.00406
62,8047.62,0.73836,0.56442,1.05115,0.95556,0.92331,0.95014,0.76634,0.83518,0.47551,1.07404,0.003961,0.003961,0.003961
63,8180.01,0.73024,0.56212,1.04497,0.93508,0.94006,0.9535,0.76659,0.84617,0.46847,1.08449,0.003862,0.003862,0.003862
64,8310.52,0.72835,0.5635,1.04599,0.94367,0.92832,0.95577,0.77431,0.8352,0.46772,1.07808,0.003763,0.003763,0.003763
65,8442.55,0.71457,0.54487,1.03941,0.95227,0.92176,0.95585,0.77773,0.82472,0.45252,1.06921,0.003664,0.003664,0.003664
